model,count,prediction_count,coverage,mae_keV_per_A,median_abs_keV_per_A,p95_abs_keV_per_A,p99_abs_keV_per_A,rmse_keV_per_A,mean_signed_keV_per_A,max_abs_keV_per_A
LOCAL_NEIGHBOUR_MEAN,3558,3558,1.0,38.116421007120096,4.496037500000057,134.03757124999976,734.7545992499952,204.00744665163614,10.938534873524455,7533.1325
EQUAL_AXIS_BLEND,3558,3558,1.0,27.255639658516007,5.481754166666633,62.628683333334024,392.7722957500001,188.57797966210583,7.9778281792202925,7192.8249
SEMF_5FOLD_OUT_OF_FOLD,3558,3558,1.0,181.76990946034078,149.88464318629303,375.4401162288563,1023.3978760082598,341.4553229023497,-0.7904963197168707,9746.32463967092
UAM_V4_GUARDED,3558,3514,0.9876335019673974,10.214723170037841,0.9893949800216433,36.98455875106174,165.2220135494648,54.75031235596035,2.0481822570706876,1282.4164
