A,N,N_minus_Z,Q_2beta_minus_calculable,Q_2beta_minus_estimated,Q_2beta_minus_keV,Q_2beta_minus_unc_keV,Q_4beta_minus_calculable,Q_4beta_minus_estimated,Q_4beta_minus_keV,Q_4beta_minus_unc_keV,Q_alpha_calculable,Q_alpha_estimated,Q_alpha_keV,Q_alpha_unc_keV,Q_beta_minus_n_calculable,Q_beta_minus_n_estimated,Q_beta_minus_n_keV,Q_beta_minus_n_unc_keV,Q_d_alpha_calculable,Q_d_alpha_estimated,Q_d_alpha_keV,Q_d_alpha_unc_keV,Q_ep_calculable,Q_ep_estimated,Q_ep_keV,Q_ep_unc_keV,Q_n_alpha_calculable,Q_n_alpha_estimated,Q_n_alpha_keV,Q_n_alpha_unc_keV,Q_p_alpha_calculable,Q_p_alpha_estimated,Q_p_alpha_keV,Q_p_alpha_unc_keV,S_2n_calculable,S_2n_estimated,S_2n_keV,S_2n_unc_keV,S_2p_calculable,S_2p_estimated,S_2p_keV,S_2p_unc_keV,S_n_calculable,S_n_estimated,S_n_keV,S_n_unc_keV,S_p_calculable,S_p_estimated,S_p_keV,S_p_unc_keV,Symbol,Z,atomic_mass_estimated,atomic_mass_micro_u,atomic_mass_u,atomic_mass_unc_micro_u,beta_decay_energy_estimated,beta_decay_energy_keV,beta_decay_energy_unc_keV,beta_decay_mode,binding_energy_per_A_estimated,binding_energy_per_A_keV,binding_energy_per_A_unc_keV,decay_modes,discovery_year,half_life_estimated,half_life_raw,half_life_s,half_life_unc_raw,half_life_unit,mass_excess_estimated,mass_excess_keV,mass_excess_unc_keV,origin,source_dataset,source_file,spin_parity,spin_parity_measured,spin_parity_systematics
5,3,1,True,True,-25907.0,2003.0,False,False,,,True,False,735.0,20.0,True,False,-22163.274,213.0728,True,False,6992.2301,20.0,False,False,,,False,False,,,True,False,2959.5663,20.0,True,False,19842.621,20.0,False,False,,,True,False,-735.0,20.0,True,False,20678.8661,101.9804,He,2,False,12057.224,5.012057224,21.47,False,-447.6529,53.8516,B-,False,5512.1325,4.0,n=100,1937,False,602,6.019999999999999e-22,22,ys,False,11231.234,20.0,-n,AME2020,mass_1.mas20,3/2-,False,False
5,2,-1,False,False,,,False,False,,,True,False,1964.9999,50.0,False,False,,,True,False,7458.475,50.0,True,False,-20231.2132,111.8034,True,False,4189.5662,50.0,False,False,,,True,True,33131.0,2001.0,True,False,17848.8662,50.0,True,False,21715.6211,217.9449,True,False,-1964.9999,50.0,Li,3,False,12537.8,5.0125378,53.677,True,-25460.0,2003.0,B-,False,5266.1325,10.0,p=100,1941,False,370,3.6999999999999995e-22,30,ys,False,11678.887,50.0,-p,AME2020,mass_1.mas20,3/2-,False,False
5,1,-3,False,False,,,False,False,,,False,False,,,False,False,,,True,True,19183.0,2830.0,True,True,27425.0,2003.0,False,False,,,False,False,,,False,False,,,True,True,-7630.0,2003.0,False,False,,,True,True,-4527.0,2014.0,Be,4,True,39870.0,5.03987,2150.0,False,,,B-,True,18.0,401.0,p ?,,False,p-unst,0.0,,,True,37139.0,2003.0,x,AME2020,mass_1.mas20,1/2+#,False,True
6,5,4,True,False,27788.8441,254.1268,True,True,-5444.0,2019.0,False,False,,,True,False,22573.1725,254.9126,False,False,,,False,False,,,False,False,,,False,False,,,True,False,-1111.9594,273.0942,False,False,,,True,False,-911.9594,269.4075,False,False,,,H,1,False,44955.437,6.044955437,272.816,False,24283.6294,254.1268,B-,False,961.6395,42.3545,n ?;3n ?,1984,False,294,2.94e-22,67,ys,False,41875.725,254.127,-3n,AME2020,mass_1.mas20,2-#,False,True
6,4,2,True,False,-782.9387,5.448,False,False,,,False,False,,,True,False,-2158.1098,50.0,True,False,3681.7732,100.0,False,False,,,False,False,,,True,False,7506.3394,0.0532,True,False,975.4569,0.0532,False,False,,,True,False,1710.4569,20.0001,True,False,22589.323,89.4427,He,2,False,18885.889,6.018885889,0.057,False,3505.2147,0.0532,B-,False,4878.5199,0.0089,B-=100;B-d=0.000278 18,1936,False,806.92,0.80692,0.24,ms,False,17592.095,0.053,,AME2020,mass_1.mas20,0+,False,False
6,3,0,True,True,-33233.0,2003.0,False,False,,,True,False,-1473.7583,0.0015,True,True,-31123.0,2003.0,True,False,22372.7716,0.0015,True,False,-26094.5377,89.4427,True,False,4783.4717,0.0015,True,False,4019.7168,0.0015,True,False,27378.9456,212.132,True,False,25112.1907,100.0,True,False,5663.3245,50.0,True,False,4433.3246,20.0,Li,3,False,15122.88742,6.01512288742,0.00155,False,-4288.1534,5.4478,B-,False,5332.3312,0.0003,IS=4.85 171,1921,False,stbl,inf,,,False,14086.88044,0.00144,,AME2020,mass_1.mas20,1+*,True,False
6,2,-2,False,False,,,False,False,,,False,False,,,False,False,,,True,False,3762.651,212.202,True,False,-145.1712,20.7287,True,False,9090.2171,5.4478,True,True,-5428.0,2000.0,False,False,,,True,False,-1372.1758,5.4478,True,True,26835.0,2003.0,True,False,592.8241,50.2959,Be,4,False,19726.409,6.0197264090000004,5.848,True,-28945.0,2003.0,B-,False,4487.2478,0.908,2p=100,1958,False,5.0,5e-21,0.3,zs,False,18375.034,5.448,-,AME2020,mass_1.mas20,0+,False,False
6,1,-4,False,False,,,False,False,,,False,False,,,False,False,,,False,False,,,True,True,28352.0,2003.0,True,True,24299.0,2830.0,False,False,,,False,False,,,True,True,-7419.0,2014.0,False,False,,,True,True,-2892.0,2832.0,B,5,True,50800.0,6.0508,2150.0,False,,,B-,True,-467.0,334.0,2p ?,,False,p-unst,0.0,,,True,47320.0,2003.0,x,AME2020,mass_1.mas20,2-#,False,True
7,6,5,True,True,34228.0,1004.0,True,True,21459.0,1004.0,False,False,,,True,True,23472.0,1004.0,False,False,,,False,False,,,False,False,,,False,False,,,True,True,-100.0,1000.0,False,False,,,True,True,812.0,1036.0,False,False,,,H,1,True,52749.0,7.052749,1078.0,True,23062.0,1004.0,B-,True,940.0,143.0,2n ?,2003,False,652,6.52e-22,558,ys,True,49135.0,1004.0,-nn,AME2020,mass_1.mas20,1/2+#,False,True
7,5,3,True,False,10304.1299,7.5598,False,False,,,False,False,,,True,False,3914.929,7.5595,True,False,3891.4875,89.7616,False,False,,,False,False,,,True,False,6316.0537,100.2853,True,False,1300.7426,21.381,False,False,,,True,False,-409.7143,7.5593,True,False,23091.5681,254.2392,He,2,False,27990.652,7.027990652,8.115,False,11166.0229,7.5595,B-,False,4123.0578,1.0799,n=100,1967,False,2.51,2.5099999999999994e-21,0.07,zs,False,26073.128,7.559,-n,AME2020,mass_1.mas20,(3/2)-,False,False
