group,count,prediction_count,coverage,mae_keV_per_A,median_abs_keV_per_A,p95_abs_keV_per_A,p99_abs_keV_per_A,rmse_keV_per_A,mean_signed_keV_per_A,max_abs_keV_per_A,mae_total_keV,median_abs_total_keV,p95_abs_total_keV,rmse_total_keV,mae_total_MeV
AT_MAGIC_Z_OR_N,298,286,0.959731543624161,31.97978730604358,7.248561292591603,129.12204129965676,403.15210999999414,115.74942552257467,2.752014139124675,1282.4164,1011.645006025175,694.7032659403285,3303.35925319594,1756.1195650960344,1.011645006025175
AWAY_FROM_MAGIC_NUMBERS,2284,2280,0.9982486865148862,3.2501794887635342,0.6416858924685584,12.92932008449309,49.00420500000068,11.108678978432675,0.8205509077051522,158.02083223478166,275.7129500665833,97.85094142314256,990.7177950000097,602.7067614924472,0.2757129500665833
WITHIN_2_OF_MAGIC_Z_OR_N,976,948,0.9713114754098361,20.398637991143154,2.8280806423990725,90.45577456386073,322.17369981238545,82.29557660321038,4.788375883954632,1213.1107453230188,663.8462946108796,279.92192073202614,3003.44097212111,1484.796019129443,0.6638462946108795
